What is your age?,What is your gender?,What is your highest level of education?,What is your current occupation?,How often do you exercise in a week?,How long have you been using a fitness wearable?,How frequently do you use your fitness wearable?,How often do you track fitness data using wearable?, Would You recommend Fitness wearbale,How has the fitness wearable impacted your fitness routine?,Has the fitness wearable helped you stay motivated to exercise?,Do you think that the fitness wearable has made exercising more enjoyable?,How engaged do you feel with your fitness wearable?,Does using a fitness wearable make you feel more connected to the fitness community?,How has the fitness wearable helped you achieve your fitness goals?,How has the fitness wearable impacted your overall health?,Has the fitness wearable improved your sleep patterns?,Do you feel that the fitness wearable has improved your overall well-being?,Has using a fitness wearable influenced your decision? [To exercise more?],Has using a fitness wearable influenced your decision? [To purchase other fitness-related products?],Has using a fitness wearable influenced your decision? [To join a gym or fitness class?],Has using a fitness wearable influenced your decision? [To change your diet?]
18-24,Male,Some college or associate degree,Student,5 or more times a week,Less than 6 months,Daily,Every day,Yes,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Agree,No impact on achieving my goals,No impact on my overall health,Agree,Neutral,Strongly agree,Neutral,Agree,Agree
Under 18,Male,Bachelor's degree,Student,5 or more times a week,Less than 6 months,3-4 times a week,Once a week,No,Positively impacted my fitness routine,Neutral,Agree,Somewhat engaged,Agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral
18-24,Female,Bachelor's degree,Student,Less than once a week,Less than 6 months,Rarely,Rarely,No,Positively impacted my fitness routine,Strongly agree,Agree,Not very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree
25-34,Female,Some college or associate degree,Employed part-time,3-4 times a week,6-12 months,3-4 times a week,Every day,Yes,I don't know,Strongly agree,Agree,Somewhat engaged,Strongly agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Strongly agree,Agree,Disagree,Neutral,Agree
18-24,Male,Bachelor's degree,Student,1-2 times a week,Less than 6 months,Daily,Every other day,No,Positively impacted my fitness routine,Neutral,Agree,Neutral,Agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree
18-24,Female,Master's degree,Employed full-time,5 or more times a week,1-2 years,Daily,Every day,Yes,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
18-24,Male,Bachelor's degree,Student,Less than once a week,1-2 years,1-2 times a week,Once a week,Yes,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral
18-24,Female,Bachelor's degree,Student,Less than once a week,Less than 6 months,Daily,Once a month,No,No impact on my fitness routine,Agree,Agree,Very engaged,Strongly agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Agree,Agree,Disagree,Agree,Agree
18-24,Male,High school diploma,Employed part-time,1-2 times a week,Less than 6 months,1-2 times a week,Every other day,No,Positively impacted my fitness routine,Strongly agree,Agree,Very engaged,Neutral,Helped me achieve my goals much more quickly,Improved my overall health significantly,Agree,Agree,Neutral,Agree,Agree,Agree
35-44,Male,High school diploma,Employed full-time,Less than once a week,6-12 months,Daily,Every day,No,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Agree,Helped me achieve my goals much more quickly,Improved my overall health somewhat,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree
35-44,Female,Doctorate or professional degree,Self-employed,5 or more times a week,More than 2 years,Daily,Every day,Yes,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree
18-24,Female,Bachelor's degree,Self-employed,1-2 times a week,Less than 6 months,3-4 times a week,Every day,No,Positively impacted my fitness routine,Strongly agree,Neutral,Neutral,Neutral,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree
25-34,Female,High school diploma,Employed part-time,Less than once a week,6-12 months,3-4 times a week,Once a month,No,Positively impacted my fitness routine,Strongly agree,Strongly agree,Neutral,Agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree
45-54,Prefer not to say,Master's degree,Unemployed,3-4 times a week,6-12 months,1-2 times a week,Once a week,No,Negatively impacted my fitness routine,Strongly disagree,Disagree,Not very engaged,Neutral,No impact on achieving my goals,I don't know,Disagree,Disagree,Neutral,Agree,Agree,Neutral
55-64,Prefer not to say,Doctorate or professional degree,Retired,5 or more times a week,6-12 months,3-4 times a week,Every other day,No,Positively impacted my fitness routine,Strongly agree,Neutral,Somewhat engaged,Neutral,Helped me achieve my goals somewhat more quickly,No impact on my overall health,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree
45-54,Female,Bachelor's degree,Self-employed,Less than once a week,Less than 6 months,3-4 times a week,Every other day,Yes,Positively impacted my fitness routine,Agree,Agree,Somewhat engaged,Agree,Helped me achieve my goals somewhat more quickly,No impact on my overall health,Neutral,Agree,Agree,Agree,Agree,Agree
25-34,Female,Some college or associate degree,Unemployed,3-4 times a week,Less than 6 months,3-4 times a week,Once a week,Yes,Positively impacted my fitness routine,Strongly agree,Strongly agree,Somewhat engaged,Agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree
25-34,Male,Some college or associate degree,Self-employed,1-2 times a week,6-12 months,1-2 times a week,Once a week,Yes,Positively impacted my fitness routine,Strongly agree,Agree,Somewhat engaged,Agree,Helped me achieve my goals much more quickly,Improved my overall health somewhat,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree
25-34,Female,Doctorate or professional degree,Self-employed,3-4 times a week,1-2 years,3-4 times a week,Every other day,Yes,Positively impacted my fitness routine,Agree,Agree,Somewhat engaged,Agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Agree,Agree,Agree,Neutral,Strongly agree,Agree
55-64,Female,Doctorate or professional degree,Retired,1-2 times a week,Less than 6 months,1-2 times a week,Once a week,No,I don't know,Neutral,Neutral,Neutral,Neutral,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Neutral,Neutral,Agree,Neutral,Neutral,Agree
Under 18,Male,High school diploma,Student,3-4 times a week,6-12 months,3-4 times a week,Every other day,Yes,Positively impacted my fitness routine,Strongly agree,Strongly agree,Somewhat engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
35-44,Male,Master's degree,Employed full-time,Less than once a week,Less than 6 months,Rarely,Rarely,No,I don't know,Neutral,Neutral,Neutral,Neutral,Helped me achieve my goals somewhat more quickly,I don't know,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
25-34,Female,Master's degree,Self-employed,3-4 times a week,6-12 months,3-4 times a week,Once a week,Yes,Positively impacted my fitness routine,Agree,Agree,Somewhat engaged,Agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Agree,Agree,Agree,Agree,Agree
45-54,Female,Doctorate or professional degree,Employed part-time,1-2 times a week,Less than 6 months,1-2 times a week,Once a month,No,Positively impacted my fitness routine,Agree,Strongly agree,Somewhat engaged,Strongly agree,Helped me achieve my goals somewhat more quickly,Improved my overall health significantly,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
18-24,Male,Bachelor's degree,Employed full-time,3-4 times a week,1-2 years,Daily,Every day,No,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
Under 18,Female,Master's degree,Employed part-time,3-4 times a week,6-12 months,1-2 times a week,Once a week,No,Positively impacted my fitness routine,Agree,Agree,Neutral,Neutral,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree
35-44,Female,Doctorate or professional degree,Self-employed,3-4 times a week,6-12 months,3-4 times a week,Every other day,Yes,I don't know,Neutral,Neutral,Somewhat engaged,Agree,Helped me achieve my goals somewhat more quickly,I don't know,Agree,Neutral,Agree,Neutral,Agree,Strongly agree
Under 18,Male,High school diploma,Student,5 or more times a week,More than 2 years,Daily,Every day,No,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
18-24,Male,Less than high school,Employed full-time,1-2 times a week,Less than 6 months,Rarely,Every day,No,Positively impacted my fitness routine,Agree,Agree,Neutral,Agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Agree,Agree,Agree,Agree,Agree
Under 18,Male,High school diploma,Student,1-2 times a week,1-2 years,1-2 times a week,Every other day,No,Positively impacted my fitness routine,Agree,Strongly agree,Very engaged,Agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree
